module,type,name,res_id,src,value,comments
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Main Currency</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>","<span class=""o_form_label"">Main Currency</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Rounding Method</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>","<span class=""o_form_label"">Rounding Method</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",
account,model_terms,"ir.ui.view,arch_db",account.view_payment_term_line_form,"<span class=""o_form_label"">of the month</span>","<span class=""o_form_label"">of the month</span>",
account,model_terms,"ir.ui.view,arch_db",account.partner_view_buttons,"<span class=""o_stat_text"">Invoiced</span>","<span class=""o_stat_text"">Invoiced</span>",
account,model_terms,"ir.ui.view,arch_db",account.setup_bank_account_wizard,"<span class=""text-muted"">Only journals not yet linked to a bank account are proposed</span>","<span class=""text-muted"">Only journals not yet linked to a bank account are proposed</span>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<span groups=""account.group_show_line_subtotals_tax_excluded"">Amount</span>
                                    <span groups=""account.group_show_line_subtotals_tax_included"">Total Price</span>","<span groups=""account.group_show_line_subtotals_tax_excluded"">Amount</span>
                                    <span groups=""account.group_show_line_subtotals_tax_included"">Total Price</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span name=""button_import_placeholder""/> Statements","<span name=""button_import_placeholder""/> Statements",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span role=""separator"">New</span>","<span role=""separator"">New</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span role=""separator"">Reconciliation</span>","<span role=""separator"">Reconciliation</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span role=""separator"">View</span>","<span role=""separator"">View</span>",
